北极地区,寒冷
热带雨林气候,终年高温多雨
地中海气候,冬季温和多雨，夏季炎热干燥
亚马孙平原,全年高温多雨
热带雨林气候,全年高温多雨
西北地区,深居内陆，属于典型的温带大陆性气候。冬冷夏热，气温日较差和年较差大。降水稀少，年降水量少于400毫米，气候干燥。降水量从东到西逐渐减少
青藏地区,气候寒冷，冬寒夏凉，太阳辐射强烈，但是因为海拔高，故是我国夏季气温最低的地区。降水季节分配不均，年降水量由东南向西北递减
南极地区,酷寒、干燥、烈风，是世界上最冷的地区，南极洲大部分地区覆盖着很厚的冰层，平均厚度2000多米
南极地区,酷寒、干燥、烈风
东北地区,"东北三省气候冷湿。大部分地区冬季漫长严寒，夏季短促温暖。大兴安岭北部地区长冬无夏，只有南部的辽东半岛冬季较短。东北三省降水集中在夏季，冬季降雪较多
形成原因：东北三省纬度较高，太阳斜射较厉害，获得的太阳光热较少；同时，东北三省又紧邻冬季风源地蒙古和西伯利亚地区，冬季风进一步加剧了东北三省的严寒"
地中海气候,夏季炎热干燥，冬季温和多雨
澳大利亚,气温高。气候成因：南回归线穿过中部，以热带和亚热带气候为主
澳大利亚,干旱面积大。气候成因：①太阳辐射和大气环流：南回归线穿过中部，大部分地区受到副热带高气压带和来自内陆的东南信风影响；②海陆轮廓：比较完整，东西宽，南北窄，扩大了副热带高气压带的控制面积；海岸线平直，减小了海洋的影响；③地形起伏：大分水岭阻挡了来自海洋的东南信风和东澳大利亚暖流带来的暖湿气流，使湿润区仅局限于东部沿海
澳大利亚,呈半环状分布。气候成因：①北部受西北季风与东南信风影响，降水季节性变化大。②东部迎风坡降水丰富，低纬度地区形成热带雨林气候，南部为亚热带湿润气候；背风坡降水减少，由草原向沙漠过渡；西风带控制区形成温带海洋性气候。③南部由副热带高气压带与西风带交替控制，形成地中海气候，向内陆过渡为草原、沙漠。④西部常年受副热带高气压带影响，降水稀少，形成沙漠气候
亚热带季风气候,冬季温和少雨（最冷月平均气温在0℃以上），夏季髙温多雨
热带沙漠气候,终年炎热干燥
热带沙漠气候,全年高温少雨
热带草原气候,终年高温，一年中有明显的干季和湿季
热带草原气候,终年高温，干、湿季分明
热带季风气候,全年高温，分旱、雨两季
热带季风气候,终年高温，分旱、雨两季
亚热带季风和湿润气候,夏季髙温多雨，冬季温和干燥
温带海洋性气候,全年温和湿润
温带季风气候,冬季寒冷干燥，夏季高温多雨，雨热同期
温带季风气候,夏季高温多雨，冬季寒冷干燥
温带大陆性气候,冬冷夏热，降水较少，集中在夏季
温带大陆性气候,冬冷夏热，降水少，且集中于夏季
高原山地气候,四季低温，有的地区甚至终年冰雪覆盖
高原山地气候,气候垂直变化明显，气温随髙度增加而降低
高原山地气候,气候垂直变化明显
寒带气候,终年严寒、降水稀少
南方地区,夏季高温多雨，冬季温暖湿润
红土地,夏季高温多雨，冬季温暖湿润
欧洲西部,与欧洲东半部和亚洲同纬度地区相比，欧洲西部冬季比较温和，夏季比较凉爽，全年降水的季节分配比较均匀，雨量适中
